,search_course,course_organization,course_title,course_type,course_difficulty,course_link,course_students_enrolled,skill
179,Data Science,University of Michigan,"Applied Plotting, Charting & Data Representation in Python",Course,Intermediate,https://www.coursera.org/learn/python-plotting,160k,"['Python Programming', 'Data Virtualization', 'Data Visualization (DataViz)', 'Matplotlib']"
180,Data Science,University of Michigan,Python Classes and Inheritance,Course,Intermediate,https://www.coursera.org/learn/python-classes-inheritance,75k,[]
181,Data Science,IBM,Applied AI with DeepLearning,Course,Advanced,https://www.coursera.org/learn/ai,48k,"['Machine Learning', 'Deep Learning', 'Long Short-Term Memory (ISTM)', 'Apache Spark']"
182,Data Science,Nanjing University,Data Processing Using Python,Course,Beginner,https://www.coursera.org/learn/python-data-processing,57k,"['Python Programming', 'Numpy', 'Pandas', 'Wxpython']"
183,Data Science,EDHEC Business School,Python and Machine Learning for Asset Management,Course,Intermediate,https://www.coursera.org/learn/python-machine-learning-for-investment-management,13k,"['Programming skills', 'Managing your own personal invetsments', 'Investment management knowledge', 'Computer Science', 'Expertise in data science']"
184,Data Science,University of Cape Town,Doing Clinical Research: Biostatistics with the Wolfram Language,Course,Beginner,https://www.coursera.org/learn/clinical-research-biostatistics-wolfram,4.2k,"['Learn to use the Wolfram Language to summarize data and create plots', 'Learn to use the Wolfram Language to do common statistical tests']"
185,Data Science,Johns Hopkins University,The R Programming Environment,Course,Intermediate,https://www.coursera.org/learn/r-programming-environment,48k,"['Data Manipulation', 'Regular Expression (REGEX)', 'R Programming', 'Rstudio']"
186,Data Science,The State University of New York,"Big Data, Genes, and Medicine",Course,Advanced,https://www.coursera.org/learn/data-genes-medicine,28k,"['Bioinformatics', 'Data Clustering Algorithms', 'Big Data', 'R Programming']"
187,Data Science,IBM,Data Visualization with R,Course,Beginner,https://www.coursera.org/learn/data-visualization-r,2.7k,"['Data Science', 'Data Analysis', 'Data Visualization (DataViz)', 'R Programming']"
188,Data Science,CFA Institute,Statistics for Machine Learning for Investment Professionals,Course,Beginner,https://www.coursera.org/learn/statistics-machine-learning-investment,Unknown,"['Data Science', 'Logistic Regression Modeling', 'Linear Regression Modeling', 'Python Programming', 'Statistical Concepts']"
189,Data Science,University of California San Diego,Python Data Products for Predictive Analytics,Specialization,Intermediate,https://www.coursera.org/specializations/python-data-products-for-predictive-analytics,25k,"['Machine Learning', 'Python Programming', 'Predictive Analytics', 'Data Processing', 'Data Visualization (DataViz)', 'Python Libraries', 'Data Pre-Processing', 'Web Scraping', 'Big Data Products', 'Recommender Systems']"
190,Data Science,IBM,بايثون لعلوم البيانات والذكاء الصناعي,Course,Beginner,https://www.coursera.org/learn/python-for-applied-data-science-ai-ar,Unknown,"[""Euler'S Totient Function"", 'Python Programming', 'Matrices', 'relative change and difference']"
191,Data Science,Databricks,Introduction to Bayesian Statistics,Course,Beginner,https://www.coursera.org/learn/compstatsintro,2.1k,"['Bayesian Inference', 'visualization', 'Python Programming', 'Scipy', 'Statistics']"
